cobraId,dotTargetFraction,calibrated,dotEdgeFraction,entryEdgeSeen,runSpread
244,0.4333,True,,False,0.017
245,0.4818,True,,False,0.0116
246,0.5839,True,0.1033,True,0.011
247,0.6193,True,0.1178,True,0.0282
248,0.4926,True,,False,0.0824
249,0.5833,True,,False,0.0136
250,0.6333,True,0.1328,True,0.0531
251,0.3389,True,,False,0.0292
252,0.4945,True,0.1299,True,0.0044
253,0.4279,True,,False,0.0263
254,0.4082,True,0.0798,True,0.029
255,0.4806,True,0.1312,True,0.0214
256,0.623,True,,False,0.004
257,0.4944,True,,False,0.0202
258,0.5774,True,,False,0.0064
259,0.6071,True,,False,0.0186
260,0.6391,True,,False,0.0017
261,0.563,True,,False,0.0274
262,0.4793,True,0.0527,True,0.0749
263,0.5174,True,,False,0.0001
264,0.5074,True,0.1656,True,0.0316
265,0.4608,True,,False,0.0146
266,0.5822,True,,False,0.003
267,0.5678,True,,False,0.015
268,0.344,True,,False,0.0034
269,0.7136,True,0.1284,True,0.0176
270,0.5815,True,,False,0.0058
271,0.5379,True,,False,0.0026
272,0.5022,True,,False,0.0217
273,0.4807,True,0.1585,True,0.019
274,0.5258,True,,False,0.0073
275,0.6472,True,,False,0.001
276,0.6192,True,,False,0.0032
277,0.5076,True,,False,0.0124
278,0.3231,True,0.1207,True,0.0988
279,0.5888,True,0.1559,True,0.0227
280,0.3381,True,,False,0.0043
281,0.5187,True,,False,0.0121
282,0.3141,True,,False,0.0653
283,0.4433,True,,False,0.0602
284,0.6742,True,0.1222,True,0.0711
285,0.3549,True,,False,0.047
286,0.5333,True,,False,0.0039
287,0.3998,True,,False,0.033
288,0.6373,True,,False,0.0718
289,0.5206,True,,False,0.0785
290,0.6199,True,,False,0.0145
291,0.4117,True,,False,0.0101
292,0.7062,True,,False,0.0182
293,0.6788,True,0.1705,True,0.0107
294,0.4057,True,,False,0.0198
295,0.2359,True,-0.0557,True,0.0435
296,0.445,False,,False,
297,0.4176,True,,False,0.0205
298,0.5401,True,0.0982,True,0.0074
299,0.3689,True,,False,0.031
300,0.5776,True,0.1258,True,0.0067
301,0.5179,True,,False,0.0029
302,0.4621,True,0.121,True,0.052
303,0.5184,True,0.0858,True,0.002
304,0.4782,True,,False,0.0043
305,0.548,True,,False,0.0162
306,0.3255,True,,False,0.053
307,0.5588,True,,False,0.0023
308,0.445,False,,False,
309,0.4949,True,0.1153,True,0.0156
310,0.546,True,,False,0.0165
311,0.4294,True,,False,0.0029
312,0.5407,True,,False,0.0363
313,0.6019,True,,False,0.0677
314,0.6548,True,,False,0.0085
315,0.5727,True,,False,0.0278
316,0.5204,True,,False,0.0076
317,0.4728,True,,False,0.0031
318,0.3994,True,,False,0.0397
319,0.4079,True,0.0754,True,0.0807
320,0.5961,True,,False,0.0312
321,0.5641,True,,False,0.0657
322,0.4559,True,,False,0.0064
323,0.3717,True,,False,0.0157
324,0.4708,True,,False,0.0431
325,0.5384,True,,False,0.0117
326,0.4889,True,,False,0.0038
327,0.445,False,,False,
328,0.5329,True,,False,0.0334
329,0.5874,True,0.1938,True,0.0019
330,0.7294,True,0.0895,True,0.0215
331,0.4281,True,0.1137,True,0.0465
332,0.4213,True,0.0516,True,0.0089
333,0.4908,True,0.1477,True,0.0302
334,0.3749,True,0.1553,True,0.0265
335,0.6943,True,,False,0.0024
336,0.5018,True,,False,0.0063
337,0.4387,True,,False,0.0302
338,0.5463,True,,False,0.0197
339,0.72,True,,False,0.0008
340,0.5208,True,,False,0.0151
341,0.331,True,0.0944,True,0.0217
342,0.4599,True,,False,0.0013
